Date,AMZN,GOOGL,MSFT,AAPL,GOOG
2019-06-24,45660000,24236000,20628800,72881600,27912000
2019-06-25,60246000,31644000,33327400,84281200,30938000
2019-06-26,48838000,34698000,23657700,104270000,36218000
2019-06-27,42834000,24078000,16557500,83598800,20086000
2019-06-28,60748000,33672000,30043000,124442400,33864000
2019-07-01,63842000,29196000,22613500,109012000,28726000
2019-07-02,52918000,20630000,15237800,67740800,19832000
2019-07-03,33806000,20154000,13629300,45448000,15340000
2019-07-05,52568000,29794000,18141100,69062000,25286000
2019-07-08,57668000,29888000,16779700,101354400,24728000
2019-07-09,86914000,29472000,19953100,82312000,26608000
2019-07-10,98638000,30710000,24204400,71588400,24190000
2019-07-11,86356000,26004000,22327900,80767200,23910000
2019-07-12,50186000,21878000,18936800,70380800,17280000
2019-07-15,59626000,21164000,16651500,67789600,18076000
2019-07-16,52364000,25352000,22726100,67467200,24776000
2019-07-17,51176000,19538000,20211000,56430000,23400000
2019-07-18,69738000,25450000,30381800,74162400,25814000
2019-07-19,63712000,23184000,48992400,83717200,32944000
2019-07-22,58000000,28914000,25074900,89111600,26030000
2019-07-23,54070000,20648000,18034600,73420800,21874000
2019-07-24,52626000,27192000,20738300,59966400,31796000
2019-07-25,82730000,54762000,18356900,55638400,44196000
2019-07-26,98542000,121216000,19037600,70475600,96116000
2019-07-29,89864000,41382000,16605900,86693600,44474000
2019-07-30,58218000,28616000,16846500,135742800,29066000
2019-07-31,89414000,39960000,38598800,277125600,34510000
2019-08-01,94266000,35426000,40557500,216071600,33970000
2019-08-02,99124000,34910000,30791600,163448400,32902000
2019-08-05,121164000,47840000,42749600,209572000,51950000
2019-08-06,101406000,36014000,32696700,143299200,34188000
2019-08-07,90538000,30686000,33414500,133457600,28886000
2019-08-08,74024000,30116000,27496500,108038000,29360000
2019-08-09,57596000,20418000,23466700,98478800,21314000
2019-08-12,58110000,22064000,20484300,89927600,20060000
2019-08-13,79880000,28434000,25154600,188874000,25888000
2019-08-14,97872000,35430000,32527300,146189600,31574000
2019-08-15,75182000,28506000,28074400,108909600,24374000
2019-08-16,60360000,24916000,24449100,110481600,26266000
2019-08-19,56326000,24450000,24355700,97654400,24632000
2019-08-20,38590000,20206000,21170800,107537200,18310000
2019-08-21,40636000,14152000,14970300,86141600,14814000
2019-08-22,53070000,17352000,18697000,89014800,18950000
2019-08-23,105416000,36254000,38508600,187272000,33740000
2019-08-26,61600000,21166000,20312600,104174400,24522000
2019-08-27,60394000,23460000,23102100,103493200,21544000
2019-08-28,48394000,16810000,17393300,63755200,16040000
2019-08-29,60302000,19636000,20168700,83962000,21768000
2019-08-30,61174000,18064000,23940100,84573600,22596000
2019-09-03,70860000,25908000,18869300,80092000,29598000
2019-09-04,46482000,21312000,17995900,76752400,21378000
2019-09-05,66216000,26394000,26101800,95654800,28162000
2019-09-06,49938000,18972000,20824500,77449200,21442000
2019-09-09,59990000,31854000,25773900,109237600,29438000
2019-09-10,52278000,27922000,28903400,127111600,25202000
2019-09-11,48656000,23522000,24726100,177158400,26140000
2019-09-12,56470000,31644000,27010000,128906800,34518000
2019-09-13,39426000,23676000,23363100,159053200,26028000
2019-09-16,73510000,28218000,16731400,84632400,21066000
2019-09-17,39648000,20806000,17814200,73274800,19102000
2019-09-18,50112000,17440000,23982100,101360000,22702000
2019-09-19,40630000,16554000,35772100,88242400,19920000
2019-09-20,106838000,37692000,39167300,221652400,45400000
2019-09-23,58446000,20798000,17139300,76662000,21248000
2019-09-24,92320000,35804000,29773200,124763200,31664000
2019-09-25,69864000,26798000,21382000,87613600,29060000
2019-09-26,70736000,23166000,17456600,75334000,30760000
2019-09-27,78144000,34122000,22477700,101408000,27078000
